"region","markanvändningsklass","X2015"
"Finspång","golfbanor och skidpistar",94
"Finspång","vatten",15979
"Finspång","övrig mark",11616
"Finspång","total landareal",105525
"Valdemarsvik","åkermark",9720
"Valdemarsvik","betesmark",2392
"Valdemarsvik","skogsmark, produktiv",46577
"Valdemarsvik","skogsmark, improduktiv",5093
"Valdemarsvik","total skogsmark",51671
"Valdemarsvik","bebyggd mark och tillhörande mark",2623
"Valdemarsvik","täkter och gruvområden",25
"Valdemarsvik","golfbanor och skidpistar",28
"Valdemarsvik","vatten",4312
"Valdemarsvik","övrig mark",6937
"Valdemarsvik","total landareal",73397
"Linköping","åkermark",42421
"Linköping","betesmark",8753
"Linköping","skogsmark, produktiv",62544
"Linköping","skogsmark, improduktiv",6839
"Linköping","total skogsmark",69384
"Linköping","bebyggd mark och tillhörande mark",10660
"Linköping","täkter och gruvområden",192
"Linköping","golfbanor och skidpistar",434
"Linköping","vatten",14085
"Linköping","övrig mark",10928
"Linköping","total landareal",142772
"Norrköping","åkermark",34600
"Norrköping","betesmark",5252
"Norrköping","skogsmark, produktiv",76113
"Norrköping","skogsmark, improduktiv",8323
"Norrköping","total skogsmark",84436
"Norrköping","bebyggd mark och tillhörande mark",10220
"Norrköping","täkter och gruvområden",119
"Norrköping","golfbanor och skidpistar",327
"Norrköping","vatten",10899
"Norrköping","övrig mark",14598
"Norrköping","total landareal",149552
"Söderköping","åkermark",13585
"Söderköping","betesmark",3094
"Söderköping","skogsmark, produktiv",37059
"Söderköping","skogsmark, improduktiv",4053
"Söderköping","total skogsmark",41111
"Söderköping","bebyggd mark och tillhörande mark",2788
"Söderköping","täkter och gruvområden",55
"Söderköping","golfbanor och skidpistar",128
"Söderköping","vatten",1938
"Söderköping","övrig mark",6665
"Söderköping","total landareal",67427
"Motala","åkermark",24621
"Motala","betesmark",2314
"Motala","skogsmark, produktiv",51232
"Motala","skogsmark, improduktiv",5602
"Motala","total skogsmark",56835
"Motala","bebyggd mark och tillhörande mark",5163
"Motala","täkter och gruvområden",255
"Motala","golfbanor och skidpistar",94
"Motala","vatten",28376
"Motala","övrig mark",9017
"Motala","total landareal",98299
"Vadstena","åkermark",14246
"Vadstena","betesmark",464
"Vadstena","skogsmark, produktiv",1694
"Vadstena","skogsmark, improduktiv",185
"Vadstena","total skogsmark",1879
"Vadstena","bebyggd mark och tillhörande mark",1145
"Vadstena","täkter och gruvområden",11
"Vadstena","golfbanor och skidpistar",64
"Vadstena","vatten",22166
"Vadstena","övrig mark",1351
"Vadstena","total landareal",19160
"Mjölby","åkermark",23732
"Mjölby","betesmark",1916
"Mjölby","skogsmark, produktiv",19110
"Mjölby","skogsmark, improduktiv",2090
"Mjölby","total skogsmark",21200
"Mjölby","bebyggd mark och tillhörande mark",3591
"Mjölby","täkter och gruvområden",48
"Mjölby","golfbanor och skidpistar",96
"Mjölby","vatten",1038
"Mjölby","övrig mark",4118
"Mjölby","total landareal",54700
"Aneby","åkermark",5520
"Aneby","betesmark",3166
"Aneby","skogsmark, produktiv",32342
"Aneby","skogsmark, improduktiv",3938
"Aneby","total skogsmark",36280
