"Municipality","SchoolOrganiser","Gender","Students","value"
"Gullspång","Kommunal","Samtliga","Ineligible",12.988
"Gällivare","Samtliga","Samtliga","Total",170
"Gällivare","Samtliga","Samtliga","Eligible",145.01
"Gällivare","Samtliga","Samtliga","Ineligible",24.99
"Gällivare","Kommunal","Samtliga","Total",147
"Gällivare","Kommunal","Samtliga","Eligible",122.01
"Gällivare","Kommunal","Samtliga","Ineligible",24.99
"Gällivare","Enskild","Samtliga","Total",23
"Gällivare","Enskild","Samtliga","Eligible",23
"Gällivare","Enskild","Samtliga","Ineligible",0
"Gävle","Samtliga","Samtliga","Total",1201
"Gävle","Samtliga","Samtliga","Eligible",993.227
"Gävle","Samtliga","Samtliga","Ineligible",207.773
"Gävle","Kommunal","Samtliga","Total",781
"Gävle","Kommunal","Samtliga","Eligible",614.647
"Gävle","Kommunal","Samtliga","Ineligible",166.353
"Gävle","Enskild","Samtliga","Total",420
"Gävle","Enskild","Samtliga","Eligible",378
"Gävle","Enskild","Samtliga","Ineligible",42
"Göteborg","Samtliga","Samtliga","Total",5530
"Göteborg","Samtliga","Samtliga","Eligible",4462.71
"Göteborg","Samtliga","Samtliga","Ineligible",1067.29
"Göteborg","Kommunal","Samtliga","Total",3600
"Göteborg","Kommunal","Samtliga","Eligible",2721.6
"Göteborg","Kommunal","Samtliga","Ineligible",878.4
"Göteborg","Enskild","Samtliga","Total",1930
"Göteborg","Enskild","Samtliga","Eligible",1748.58
"Göteborg","Enskild","Samtliga","Ineligible",181.42
"Götene","Samtliga","Samtliga","Total",130
"Götene","Samtliga","Samtliga","Eligible",108.03
"Götene","Samtliga","Samtliga","Ineligible",21.97
"Götene","Kommunal","Samtliga","Total",130
"Götene","Kommunal","Samtliga","Eligible",108.03
"Götene","Kommunal","Samtliga","Ineligible",21.97
"Habo","Samtliga","Samtliga","Total",164
"Habo","Samtliga","Samtliga","Eligible",144.976
"Habo","Samtliga","Samtliga","Ineligible",19.024
"Habo","Kommunal","Samtliga","Total",164
"Habo","Kommunal","Samtliga","Eligible",144.976
"Habo","Kommunal","Samtliga","Ineligible",19.024
"Hagfors","Samtliga","Samtliga","Total",112
"Hagfors","Samtliga","Samtliga","Eligible",88.032
"Hagfors","Samtliga","Samtliga","Ineligible",23.968
"Hagfors","Kommunal","Samtliga","Total",112
"Hagfors","Kommunal","Samtliga","Eligible",88.032
"Hagfors","Kommunal","Samtliga","Ineligible",23.968
"Hallsberg","Samtliga","Samtliga","Total",166
"Hallsberg","Samtliga","Samtliga","Eligible",116.034
"Hallsberg","Samtliga","Samtliga","Ineligible",49.966
"Hallsberg","Kommunal","Samtliga","Total",166
"Hallsberg","Kommunal","Samtliga","Eligible",116.034
"Hallsberg","Kommunal","Samtliga","Ineligible",49.966
"Hallstahammar","Samtliga","Samtliga","Total",162
"Hallstahammar","Samtliga","Samtliga","Eligible",138.024
"Hallstahammar","Samtliga","Samtliga","Ineligible",23.976
"Hallstahammar","Kommunal","Samtliga","Total",162
"Hallstahammar","Kommunal","Samtliga","Eligible",138.024
"Hallstahammar","Kommunal","Samtliga","Ineligible",23.976
"Halmstad","Samtliga","Samtliga","Total",1110
"Halmstad","Samtliga","Samtliga","Eligible",915.75
"Halmstad","Samtliga","Samtliga","Ineligible",194.25
