"region","hushållsstorlek","X2019"
"Mullsjö","uppgift saknas",8
"Habo","1 person",1161
"Habo","2 personer",3162
"Habo","3 personer",1767
"Habo","4 personer",3808
"Habo","5 personer",1775
"Habo","6 personer",450
"Habo","7+ personer",305
"Habo","uppgift saknas",5
"Gislaved","1 person",4648
"Gislaved","2 personer",8286
"Gislaved","3 personer",4890
"Gislaved","4 personer",6548
"Gislaved","5 personer",3230
"Gislaved","6 personer",1122
"Gislaved","7+ personer",1216
"Gislaved","uppgift saknas",23
"Vaggeryd","1 person",1904
"Vaggeryd","2 personer",3880
"Vaggeryd","3 personer",2277
"Vaggeryd","4 personer",3464
"Vaggeryd","5 personer",1750
"Vaggeryd","6 personer",570
"Vaggeryd","7+ personer",419
"Vaggeryd","uppgift saknas",11
"Jönköping","1 person",25490
"Jönköping","2 personer",38582
"Jönköping","3 personer",21129
"Jönköping","4 personer",30668
"Jönköping","5 personer",15505
"Jönköping","6 personer",5112
"Jönköping","7+ personer",4434
"Jönköping","uppgift saknas",161
"Nässjö","1 person",5298
"Nässjö","2 personer",9222
"Nässjö","3 personer",4764
"Nässjö","4 personer",6180
"Nässjö","5 personer",3215
"Nässjö","6 personer",1350
"Nässjö","7+ personer",1473
"Nässjö","uppgift saknas",36
"Värnamo","1 person",5642
"Värnamo","2 personer",9920
"Värnamo","3 personer",5475
"Värnamo","4 personer",7616
"Värnamo","5 personer",3695
"Värnamo","6 personer",1338
"Värnamo","7+ personer",838
"Värnamo","uppgift saknas",36
"Sävsjö","1 person",1859
"Sävsjö","2 personer",3444
"Sävsjö","3 personer",1542
"Sävsjö","4 personer",2188
"Sävsjö","5 personer",1505
"Sävsjö","6 personer",678
"Sävsjö","7+ personer",450
"Sävsjö","uppgift saknas",11
"Vetlanda","1 person",4718
"Vetlanda","2 personer",8554
"Vetlanda","3 personer",4008
"Vetlanda","4 personer",5564
"Vetlanda","5 personer",2840
"Vetlanda","6 personer",924
"Vetlanda","7+ personer",844
"Vetlanda","uppgift saknas",14
"Eksjö","1 person",3426
"Eksjö","2 personer",5510
"Eksjö","3 personer",2412
"Eksjö","4 personer",3304
"Eksjö","5 personer",1960
"Eksjö","6 personer",636
"Eksjö","7+ personer",495
"Eksjö","uppgift saknas",10
"Tranås","1 person",3606
"Tranås","2 personer",5652
"Tranås","3 personer",2820
"Tranås","4 personer",3860
"Tranås","5 personer",1915
"Tranås","6 personer",618
"Tranås","7+ personer",508
"Tranås","uppgift saknas",24
"Uppvidinge","1 person",1725
"Uppvidinge","2 personer",2962
"Uppvidinge","3 personer",1431
"Uppvidinge","4 personer",1840
"Uppvidinge","5 personer",810
"Uppvidinge","6 personer",408
"Uppvidinge","7+ personer",389
"Uppvidinge","uppgift saknas",23
"Lessebo","1 person",1359
"Lessebo","2 personer",2518
"Lessebo","3 personer",1254
"Lessebo","4 personer",1784
"Lessebo","5 personer",835
"Lessebo","6 personer",378
"Lessebo","7+ personer",594
"Lessebo","uppgift saknas",11
"Tingsryd","1 person",2541
"Tingsryd","2 personer",4000
"Tingsryd","3 personer",1809
"Tingsryd","4 personer",2220
"Tingsryd","5 personer",1210
"Tingsryd","6 personer",348
"Tingsryd","7+ personer",253
"Tingsryd","uppgift saknas",12
"Alvesta","1 person",3007
"Alvesta","2 personer",5838
"Alvesta","3 personer",2904
"Alvesta","4 personer",4288
"Alvesta","5 personer",2185
"Alvesta","6 personer",888
"Alvesta","7+ personer",995
"Alvesta","uppgift saknas",29
"Älmhult","1 person",2733
"Älmhult","2 personer",4852
"Älmhult","3 personer",2802
"Älmhult","4 personer",4168
"Älmhult","5 personer",1910
"Älmhult","6 personer",552
"Älmhult","7+ personer",623
"Älmhult","uppgift saknas",11
"Markaryd","1 person",1926
"Markaryd","2 personer",3154
"Markaryd","3 personer",1557
"Markaryd","4 personer",1844
"Markaryd","5 personer",1025
"Markaryd","6 personer",420
"Markaryd","7+ personer",378
"Markaryd","uppgift saknas",16
"Växjö","1 person",17366
"Växjö","2 personer",25938
"Växjö","3 personer",14262
"Växjö","4 personer",20644
"Växjö","5 personer",9320
"Växjö","6 personer",3306
"Växjö","7+ personer",3185
"Växjö","uppgift saknas",108
"Ljungby","1 person",5118
"Ljungby","2 personer",8808
"Ljungby","3 personer",4527
"Ljungby","4 personer",5908
"Ljungby","5 personer",2655
"Ljungby","6 personer",882
"Ljungby","7+ personer",588
"Ljungby","uppgift saknas",35
"Högsby","1 person",1076
"Högsby","2 personer",1860
"Högsby","3 personer",927
"Högsby","4 personer",884
"Högsby","5 personer",535
"Högsby","6 personer",336
"Högsby","7+ personer",295
"Högsby","uppgift saknas",8
"Torsås","1 person",1361
"Torsås","2 personer",2412
"Torsås","3 personer",1029
"Torsås","4 personer",1308
"Torsås","5 personer",635
"Torsås","6 personer",186
"Torsås","7+ personer",187
"Torsås","uppgift saknas",7
"Mörbylånga","1 person",2274
"Mörbylånga","2 personer",4876
"Mörbylånga","3 personer",2202
"Mörbylånga","4 personer",3676
"Mörbylånga","5 personer",1480
"Mörbylånga","6 personer",444
"Mörbylånga","7+ personer",289
"Mörbylånga","uppgift saknas",8
"Hultsfred","1 person",2662
"Hultsfred","2 personer",4684
"Hultsfred","3 personer",2097
"Hultsfred","4 personer",2412
"Hultsfred","5 personer",1205
"Hultsfred","6 personer",582
"Hultsfred","7+ personer",562
"Hultsfred","uppgift saknas",20
"Mönsterås","1 person",2543
"Mönsterås","2 personer",4300
"Mönsterås","3 personer",2070
"Mönsterås","4 personer",2552
"Mönsterås","5 personer",1180
"Mönsterås","6 personer",456
"Mönsterås","7+ personer",317
"Mönsterås","uppgift saknas",12
"Emmaboda","1 person",1937
"Emmaboda","2 personer",3086
"Emmaboda","3 personer",1245
"Emmaboda","4 personer",1604
"Emmaboda","5 personer",880
"Emmaboda","6 personer",300
"Emmaboda","7+ personer",376
"Emmaboda","uppgift saknas",17
"Kalmar","1 person",14018
"Kalmar","2 personer",20026
"Kalmar","3 personer",10746
"Kalmar","4 personer",14724
"Kalmar","5 personer",6240
"Kalmar","6 personer",2040
"Kalmar","7+ personer",1580
"Kalmar","uppgift saknas",93
"Nybro","1 person",4046
"Nybro","2 personer",6296
"Nybro","3 personer",2988
"Nybro","4 personer",3912
"Nybro","5 personer",1810
"Nybro","6 personer",606
"Nybro","7+ personer",634
"Nybro","uppgift saknas",26
"Oskarshamn","1 person",5119
"Oskarshamn","2 personer",8336
"Oskarshamn","3 personer",4317
"Oskarshamn","4 personer",5484
"Oskarshamn","5 personer",2585
"Oskarshamn","6 personer",696
"Oskarshamn","7+ personer",543
"Oskarshamn","uppgift saknas",22
"Västervik","1 person",7640
"Västervik","2 personer",12246
"Västervik","3 personer",5406
"Västervik","4 personer",6508
"Västervik","5 personer",3055
"Västervik","6 personer",1080
"Västervik","7+ personer",707
"Västervik","uppgift saknas",37
"Vimmerby","1 person",2856
"Vimmerby","2 personer",5108
"Vimmerby","3 personer",2316
"Vimmerby","4 personer",3116
"Vimmerby","5 personer",1380
"Vimmerby","6 personer",528
"Vimmerby","7+ personer",326
"Vimmerby","uppgift saknas",17
"Borgholm","1 person",2168
"Borgholm","2 personer",4086
"Borgholm","3 personer",1530
"Borgholm","4 personer",1620
"Borgholm","5 personer",870
"Borgholm","6 personer",330
