"Kommun","Huvudman","Kön","Behörighet","Antal"
"Gnesta","Enskild","Samtliga","Gymnasiebehöriga",NA
"Gnesta","Enskild","Samtliga","Gymnasieobehöriga",NA
"Gnosjö","Samtliga","Samtliga","Gymnasiebehöriga",32
"Gnosjö","Samtliga","Samtliga","Gymnasieobehöriga",88
"Gnosjö","Kommunal","Samtliga","Gymnasiebehöriga",32
"Gnosjö","Kommunal","Samtliga","Gymnasieobehöriga",88
"Gotland","Samtliga","Samtliga","Gymnasiebehöriga",91
"Gotland","Samtliga","Samtliga","Gymnasieobehöriga",520
"Gotland","Kommunal","Samtliga","Gymnasiebehöriga",85
"Gotland","Kommunal","Samtliga","Gymnasieobehöriga",438
"Gotland","Enskild","Samtliga","Gymnasiebehöriga",0
"Gotland","Enskild","Samtliga","Gymnasieobehöriga",88
"Grums","Samtliga","Samtliga","Gymnasiebehöriga",19
"Grums","Samtliga","Samtliga","Gymnasieobehöriga",59
"Grums","Kommunal","Samtliga","Gymnasiebehöriga",19
"Grums","Kommunal","Samtliga","Gymnasieobehöriga",59
"Grästorp","Samtliga","Samtliga","Gymnasiebehöriga",0
"Grästorp","Samtliga","Samtliga","Gymnasieobehöriga",62
"Grästorp","Kommunal","Samtliga","Gymnasiebehöriga",0
"Grästorp","Kommunal","Samtliga","Gymnasieobehöriga",62
"Gullspång","Samtliga","Samtliga","Gymnasiebehöriga",13
"Gullspång","Samtliga","Samtliga","Gymnasieobehöriga",55
"Gullspång","Kommunal","Samtliga","Gymnasiebehöriga",13
"Gullspång","Kommunal","Samtliga","Gymnasieobehöriga",55
"Gällivare","Samtliga","Samtliga","Gymnasiebehöriga",25
"Gällivare","Samtliga","Samtliga","Gymnasieobehöriga",145
"Gällivare","Kommunal","Samtliga","Gymnasiebehöriga",25
"Gällivare","Kommunal","Samtliga","Gymnasieobehöriga",122
"Gällivare","Enskild","Samtliga","Gymnasiebehöriga",NA
"Gällivare","Enskild","Samtliga","Gymnasieobehöriga",NA
"Gävle","Samtliga","Samtliga","Gymnasiebehöriga",208
"Gävle","Samtliga","Samtliga","Gymnasieobehöriga",993
"Gävle","Kommunal","Samtliga","Gymnasiebehöriga",166
"Gävle","Kommunal","Samtliga","Gymnasieobehöriga",615
"Gävle","Enskild","Samtliga","Gymnasiebehöriga",42
"Gävle","Enskild","Samtliga","Gymnasieobehöriga",378
"Göteborg","Samtliga","Samtliga","Gymnasiebehöriga",1067
"Göteborg","Samtliga","Samtliga","Gymnasieobehöriga",4463
"Göteborg","Kommunal","Samtliga","Gymnasiebehöriga",878
"Göteborg","Kommunal","Samtliga","Gymnasieobehöriga",2722
"Göteborg","Enskild","Samtliga","Gymnasiebehöriga",181
"Göteborg","Enskild","Samtliga","Gymnasieobehöriga",1749
"Götene","Samtliga","Samtliga","Gymnasiebehöriga",22
"Götene","Samtliga","Samtliga","Gymnasieobehöriga",108
"Götene","Kommunal","Samtliga","Gymnasiebehöriga",22
