"region","resultaträkningsposter","X2019"
"Sotenäs","skatteintäkter",52682
"Sotenäs","generella statsbidrag och utjämning",5050
"Munkedal","skatteintäkter",46194
"Munkedal","generella statsbidrag och utjämning",18897
"Tanum","skatteintäkter",43494
"Tanum","generella statsbidrag och utjämning",15867
"Dals-Ed","skatteintäkter",41797
"Dals-Ed","generella statsbidrag och utjämning",23693
"Färgelanda","skatteintäkter",42371
"Färgelanda","generella statsbidrag och utjämning",17871
"Ale","skatteintäkter",47810
"Ale","generella statsbidrag och utjämning",11136
"Lerum","skatteintäkter",50361
"Lerum","generella statsbidrag och utjämning",7274
"Vårgårda","skatteintäkter",42895
"Vårgårda","generella statsbidrag och utjämning",12657
"Bollebygd","skatteintäkter",48321
"Bollebygd","generella statsbidrag och utjämning",10055
"Grästorp","skatteintäkter",45278
"Grästorp","generella statsbidrag och utjämning",15203
"Essunga","skatteintäkter",43037
"Essunga","generella statsbidrag och utjämning",16706
"Karlsborg","skatteintäkter",45431
"Karlsborg","generella statsbidrag och utjämning",11927
"Gullspång","skatteintäkter",41850
"Gullspång","generella statsbidrag och utjämning",19392
"Tranemo","skatteintäkter",44962
"Tranemo","generella statsbidrag och utjämning",14937
"Bengtsfors","skatteintäkter",43355
"Bengtsfors","generella statsbidrag och utjämning",20997
"Mellerud","skatteintäkter",40793
"Mellerud","generella statsbidrag och utjämning",25201
"Lilla Edet","skatteintäkter",46749
"Lilla Edet","generella statsbidrag och utjämning",12001
"Mark","skatteintäkter",44366
"Mark","generella statsbidrag och utjämning",15221
"Svenljunga","skatteintäkter",43853
"Svenljunga","generella statsbidrag och utjämning",16000
"Herrljunga","skatteintäkter",45404
"Herrljunga","generella statsbidrag och utjämning",12361
"Vara","skatteintäkter",43483
"Vara","generella statsbidrag och utjämning",14720
"Götene","skatteintäkter",46867
"Götene","generella statsbidrag och utjämning",11983
"Tibro","skatteintäkter",41254
"Tibro","generella statsbidrag och utjämning",17022
"Töreboda","skatteintäkter",40667
"Töreboda","generella statsbidrag och utjämning",21376
"Göteborg","skatteintäkter",49774
"Göteborg","generella statsbidrag och utjämning",6273
"Mölndal","skatteintäkter",49256
"Mölndal","generella statsbidrag och utjämning",5838
"Kungälv","skatteintäkter",50721
"Kungälv","generella statsbidrag och utjämning",6556
"Lysekil","skatteintäkter",50263
"Lysekil","generella statsbidrag och utjämning",13461
"Uddevalla","skatteintäkter",47181
"Uddevalla","generella statsbidrag och utjämning",14262
"Strömstad","skatteintäkter",41965
"Strömstad","generella statsbidrag och utjämning",16855
"Vänersborg","skatteintäkter",46025
"Vänersborg","generella statsbidrag och utjämning",16466
"Trollhättan","skatteintäkter",45675
"Trollhättan","generella statsbidrag och utjämning",13397
"Alingsås","skatteintäkter",47390
"Alingsås","generella statsbidrag och utjämning",10410
"Borås","skatteintäkter",45570
"Borås","generella statsbidrag och utjämning",11438
"Ulricehamn","skatteintäkter",44114
"Ulricehamn","generella statsbidrag och utjämning",13760
"Åmål","skatteintäkter",42390
"Åmål","generella statsbidrag och utjämning",23903
"Mariestad","skatteintäkter",44697
"Mariestad","generella statsbidrag och utjämning",12093
"Lidköping","skatteintäkter",47043
"Lidköping","generella statsbidrag och utjämning",9699
"Skara","skatteintäkter",45287
"Skara","generella statsbidrag och utjämning",12130
"Skövde","skatteintäkter",46500
"Skövde","generella statsbidrag och utjämning",7640
"Hjo","skatteintäkter",44591
"Hjo","generella statsbidrag och utjämning",13464
"Tidaholm","skatteintäkter",44837
"Tidaholm","generella statsbidrag och utjämning",14526
"Falköping","skatteintäkter",42999
"Falköping","generella statsbidrag och utjämning",18172
"Kil","skatteintäkter",44549
"Kil","generella statsbidrag och utjämning",14974
"Eda","skatteintäkter",38465
"Eda","generella statsbidrag och utjämning",20879
"Torsby","skatteintäkter",43706
"Torsby","generella statsbidrag och utjämning",22828
"Storfors","skatteintäkter",44833
"Storfors","generella statsbidrag och utjämning",16815
"Hammarö","skatteintäkter",50647
"Hammarö","generella statsbidrag och utjämning",7960
"Munkfors","skatteintäkter",41150
"Munkfors","generella statsbidrag och utjämning",23223
"Forshaga","skatteintäkter",44197
"Forshaga","generella statsbidrag och utjämning",17148
"Grums","skatteintäkter",44862
