"region","Nivå","X2019"
"Trollhättan","Kommun",22.36
"Trollhättan","Region",11.48
"Alingsås","Kommun",21.36
"Alingsås","Region",11.48
"Borås","Kommun",21.31
"Borås","Region",11.48
"Ulricehamn","Kommun",21.05
"Ulricehamn","Region",11.48
"Åmål","Kommun",22.46
"Åmål","Region",11.48
"Mariestad","Kommun",21.26
"Mariestad","Region",11.48
"Lidköping","Kommun",21.26
"Lidköping","Region",11.48
"Skara","Kommun",21.5
"Skara","Region",11.48
"Skövde","Kommun",21.61
"Skövde","Region",11.48
"Hjo","Kommun",21.57
"Hjo","Region",11.48
"Tidaholm","Kommun",22.07
"Tidaholm","Region",11.48
"Falköping","Kommun",21.95
"Falköping","Region",11.48
"Kil","Kommun",21.87
"Kil","Region",11.68
"Eda","Kommun",22.27
"Eda","Region",11.68
"Torsby","Kommun",22.02
"Torsby","Region",11.68
"Storfors","Kommun",22.7
"Storfors","Region",11.68
"Hammarö","Kommun",23.12
"Hammarö","Region",11.68
"Munkfors","Kommun",22.02
"Munkfors","Region",11.68
"Forshaga","Kommun",21.87
"Forshaga","Region",11.68
"Grums","Kommun",22.5
"Grums","Region",11.68
"Årjäng","Kommun",21.97
"Årjäng","Region",11.68
"Sunne","Kommun",21.67
"Sunne","Region",11.68
"Karlstad","Kommun",21.27
"Karlstad","Region",11.68
"Kristinehamn","Kommun",21.97
"Kristinehamn","Region",11.68
"Filipstad","Kommun",21.52
"Filipstad","Region",11.68
"Hagfors","Kommun",22.02
"Hagfors","Region",11.68
"Arvika","Kommun",21.96
"Arvika","Region",11.68
"Säffle","Kommun",21.52
"Säffle","Region",11.68
"Lekeberg","Kommun",22.43
"Lekeberg","Region",11.55
"Laxå","Kommun",22.18
"Laxå","Region",11.55
"Hallsberg","Kommun",21.55
"Hallsberg","Region",11.55
"Degerfors","Kommun",23
"Degerfors","Region",11.55
"Hällefors","Kommun",22.05
"Hällefors","Region",11.55
"Ljusnarsberg","Kommun",21.02
"Ljusnarsberg","Region",11.55
"Örebro","Kommun",21.35
"Örebro","Region",11.55
"Kumla","Kommun",21.6
"Kumla","Region",11.55
"Askersund","Kommun",21.95
"Askersund","Region",11.55
"Karlskoga","Kommun",22
"Karlskoga","Region",11.55
"Nora","Kommun",22.25
"Nora","Region",11.55
"Lindesberg","Kommun",22.3
"Lindesberg","Region",11.55
"Skinnskatteberg","Kommun",22.46
"Skinnskatteberg","Region",10.88
"Surahammar","Kommun",22.31
"Surahammar","Region",10.88
"Kungsör","Kommun",22.03
"Kungsör","Region",10.88
"Hallstahammar","Kommun",21.81
"Hallstahammar","Region",10.88
"Norberg","Kommun",22.66
"Norberg","Region",10.88
"Västerås","Kommun",20.36
"Västerås","Region",10.88
"Sala","Kommun",22.31
"Sala","Region",10.88
"Fagersta","Kommun",22.11
"Fagersta","Region",10.88
"Köping","Kommun",22.16
"Köping","Region",10.88
"Arboga","Kommun",22.41
"Arboga","Region",10.88
"Vansbro","Kommun",22.3
"Vansbro","Region",11.63
"Malung-Sälen","Kommun",22.57
"Malung-Sälen","Region",11.63
"Gagnef","Kommun",22.29
"Gagnef","Region",11.63
"Leksand","Kommun",21.82
"Leksand","Region",11.63
"Rättvik","Kommun",21.82
"Rättvik","Region",11.63
"Orsa","Kommun",22.42
"Orsa","Region",11.63
"Älvdalen","Kommun",22.79
"Älvdalen","Region",11.63
"Smedjebacken","Kommun",22.46
"Smedjebacken","Region",11.63
"Mora","Kommun",22.34
"Mora","Region",11.63
"Falun","Kommun",22.07
"Falun","Region",11.63
"Borlänge","Kommun",22.42
"Borlänge","Region",11.63
"Säter","Kommun",22.32
"Säter","Region",11.63
"Hedemora","Kommun",22.17
"Hedemora","Region",11.63
"Avesta","Kommun",21.97
"Avesta","Region",11.63
"Ludvika","Kommun",22.07
"Ludvika","Region",11.63
"Ockelbo","Kommun",22.76
"Ockelbo","Region",11.51
"Hofors","Kommun",22.86
"Hofors","Region",11.51
"Ovanåker","Kommun",21.86
"Ovanåker","Region",11.51
"Nordanstig","Kommun",22.51
"Nordanstig","Region",11.51
"Ljusdal","Kommun",22.36
"Ljusdal","Region",11.51
"Gävle","Kommun",22.26
"Gävle","Region",11.51
"Sandviken","Kommun",21.61
"Sandviken","Region",11.51
"Söderhamn","Kommun",21.66
"Söderhamn","Region",11.51
"Bollnäs","Kommun",21.86
"Bollnäs","Region",11.51
"Hudiksvall","Kommun",21.61
"Hudiksvall","Region",11.51
"Ånge","Kommun",23.33
"Ånge","Region",11.29
"Timrå","Kommun",23.59
"Timrå","Region",11.29
"Härnösand","Kommun",23.34
"Härnösand","Region",11.29
"Sundsvall","Kommun",22.59
"Sundsvall","Region",11.29
"Kramfors","Kommun",23.14
"Kramfors","Region",11.29
"Sollefteå","Kommun",23.39
"Sollefteå","Region",11.29
"Örnsköldsvik","Kommun",22.71
"Örnsköldsvik","Region",11.29
"Ragunda","Kommun",23.22
"Ragunda","Region",11.7
"Bräcke","Kommun",23.39
"Bräcke","Region",11.7
"Krokom","Kommun",22.17
"Krokom","Region",11.7
"Strömsund","Kommun",23.22
"Strömsund","Region",11.7
"Åre","Kommun",22.22
"Åre","Region",11.7
"Berg","Kommun",22.52
"Berg","Region",11.7
"Härjedalen","Kommun",22.47
"Härjedalen","Region",11.7
"Östersund","Kommun",22.02
"Östersund","Region",11.7
"Nordmaling","Kommun",23.25
"Nordmaling","Region",11.35
"Bjurholm","Kommun",23.15
"Bjurholm","Region",11.35
"Vindeln","Kommun",23.6
"Vindeln","Region",11.35
"Robertsfors","Kommun",23.15
"Robertsfors","Region",11.35
"Norsjö","Kommun",23.35
"Norsjö","Region",11.35
"Malå","Kommun",23.35
"Malå","Region",11.35
"Storuman","Kommun",23.1
"Storuman","Region",11.35
"Sorsele","Kommun",23.6
"Sorsele","Region",11.35
"Dorotea","Kommun",23.8
"Dorotea","Region",11.35
"Vännäs","Kommun",23.6
"Vännäs","Region",11.35
"Vilhelmina","Kommun",23.4
"Vilhelmina","Region",11.35
"Åsele","Kommun",23.6
"Åsele","Region",11.35
"Umeå","Kommun",22.8
"Umeå","Region",11.35
"Lycksele","Kommun",23.05
"Lycksele","Region",11.35
"Skellefteå","Kommun",22.6
"Skellefteå","Region",11.35
"Arvidsjaur","Kommun",22.8
"Arvidsjaur","Region",11.34
"Arjeplog","Kommun",23.5
"Arjeplog","Region",11.34
"Jokkmokk","Kommun",22.95
"Jokkmokk","Region",11.34
"Överkalix","Kommun",22.8
"Överkalix","Region",11.34
"Kalix","Kommun",22.55
"Kalix","Region",11.34
"Övertorneå","Kommun",21.75
"Övertorneå","Region",11.34
"Pajala","Kommun",23.4
"Pajala","Region",11.34
"Gällivare","Kommun",22.55
"Gällivare","Region",11.34
"Älvsbyn","Kommun",22.45
"Älvsbyn","Region",11.34
"Luleå","Kommun",22.5
"Luleå","Region",11.34
"Piteå","Kommun",22.25
"Piteå","Region",11.34
"Boden","Kommun",22.6
"Boden","Region",11.34
"Haparanda","Kommun",22.5
"Haparanda","Region",11.34
"Kiruna","Kommun",23.05
"Kiruna","Region",11.34
